sentence	mood	prob
said the Rabbit's voice; and Alice called out as loud as she could, 'If you do.	neutral	[0.7661365  0.05598623 0.02912304 0.06091779 0.03411697 0.05371938]
I'll set Dinah at you!'	neutral	[0.71145046 0.01610191 0.06854112 0.01166993 0.05234373 0.13989286]
There was a dead silence instantly, and Alice thought to herself, 'I wonder what they WILL do next!	happy	[0.33460432 0.5521178  0.0457873  0.05878581 0.00463193 0.00407276]
If they had any sense, they'd take the roof off.'	neutral	[0.8217636  0.15452358 0.01004686 0.00824102 0.00151074 0.00391414]
After a minute or two, they began moving about again, and Alice heard the Rabbit say, 'A barrowful will do, to begin with.'	neutral	"[9.7076553e-01 2.5037693e-02 1.6501856e-03 1.5074186e-04 1.2621420e-04
 2.2696101e-03]"
'A barrowful of WHAT?'	neutral	[0.8707792  0.02095797 0.02972143 0.00656165 0.01121596 0.06076384]
thought Alice; but she had not long to doubt, for the next moment a shower of little pebbles came rattling in at the window, and some of them hit her in the face.	neutral	[0.43070638 0.03426024 0.14755115 0.0194581  0.04621378 0.32181033]
'I'll put a stop to this,' she said to herself, and shouted out, 'You'd better not do that again!'	neutral	[0.27612153 0.09074483 0.236897   0.05627411 0.18924399 0.15071853]
which produced another dead silence.	neutral	[0.9145053  0.03352132 0.00959093 0.03032374 0.00658121 0.00547756]
Alice noticed with some surprise that the pebbles were all turning into little cakes as they lay on the floor, and a bright idea came into her head.	scary	[0.11576601 0.04980234 0.23726515 0.13964006 0.33994213 0.1175843 ]
'If I eat one of these cakes,' she thought, 'it's sure to make SOME change in my size; and as it can't possibly make me larger, it must make me smaller, I suppose.'	happy	[0.31037164 0.48238415 0.08037226 0.06930587 0.01613874 0.04142726]
So she swallowed one of the cakes, and was delighted to find that she began shrinking directly.	neutral	[0.4089578  0.38339314 0.09224593 0.0495203  0.0301043  0.03577859]
As soon as she was small enough to get through the door, she ran out of the house, and found quite a crowd of little animals and birds waiting outside.	neutral	[0.6194963  0.0534168  0.17453872 0.02018001 0.10255134 0.02981682]
The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a bottle.	neutral	[0.6784805  0.0222713  0.09603038 0.032019   0.1519243  0.01927451]
They all made a rush at Alice the moment she appeared; but she ran off as hard as she could, and soon found herself safe in a thick wood.	surprised	[0.24247365 0.19749425 0.35210884 0.04117547 0.10356133 0.06318648]
'The first thing I've got to do,' said Alice to herself, as she wandered about in the wood, 'is to grow to my right size again; and the second thing is to find my way into that lovely garden.	neutral	"[7.3257738e-01 2.4279724e-01 1.1049736e-02 1.1944208e-02 4.3516851e-04
 1.1963170e-03]"
I think that will be the best plan.'	neutral	[0.6539518  0.32858884 0.00765796 0.00777515 0.00089455 0.00113171]
It sounded an excellent plan, no doubt, and very neatly and simply arranged; the only difficulty was, that she had not the smallest idea how to set about it; and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.	surprised	[0.17397237 0.21739149 0.25308582 0.05948566 0.2255659  0.07049882]
An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her.	neutral	[0.6237889  0.01821844 0.01785684 0.25969592 0.07683963 0.00360037]
'Poor little thing!'	neutral	[0.3680426  0.16630216 0.12165087 0.17335637 0.11155327 0.0590947 ]
said Alice, in a coaxing tone, and she tried hard to whistle to it; but she was terribly frightened all the time at the thought that it might be hungry, in which case it would be very likely to eat her up in spite of all her coaxing.	sad	[0.30076125 0.03321118 0.04116946 0.3608176  0.15715851 0.10688208]
Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy; whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it; then Alice dodged behind a great thistle, to keep herself from being run over; and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it; then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again; then the puppy began a series of short charges at the stick, running a very little way forwards each time and a long way back, and barking hoarsely all the while, till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.	surprised	[0.29525727 0.09894469 0.34302542 0.00698518 0.24268205 0.01310532]
This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of breath, and till the puppy's bark sounded quite faint in the distance.	neutral	[0.29922378 0.13748801 0.28552008 0.07589419 0.14701782 0.0548561 ]
'And yet what a dear little puppy it was!'	happy	[0.10475484 0.817639   0.03117009 0.03259289 0.0060945  0.00774878]
said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves: 'I should have liked teaching it tricks very much, if--if I'd only been the right size to do it!	neutral	[0.7082048  0.21241246 0.02934204 0.02614635 0.00636116 0.01753326]
Oh dear!	neutral	[0.458573   0.0539545  0.10899901 0.13943084 0.21284044 0.02620224]
I'd nearly forgotten that I've got to grow up again!	neutral	[0.7891761  0.02756114 0.0528237  0.0352787  0.03677589 0.05838447]
Let me see--how IS it to be managed?	neutral	[0.8320959  0.06160914 0.03481313 0.01315436 0.03839144 0.01993591]
I suppose I ought to eat or drink something or other; but the great question is, what?'	neutral	"[9.5705533e-01 2.1193409e-02 1.5042628e-02 9.4328471e-04 1.2831442e-03
 4.4822046e-03]"
The great question certainly was, what?	neutral	[0.848595   0.02474711 0.05664322 0.0125998  0.03003383 0.02738103]
Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances.	neutral	[0.5377077  0.20147473 0.04690133 0.16874945 0.02151127 0.02365553]
There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.	neutral	[0.87518466 0.01714409 0.06013752 0.00852887 0.02861944 0.01038543]
She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.	scary	[0.11564288 0.04921041 0.20199193 0.16547514 0.28428155 0.18339804]
CHAPTER V. Advice from a Caterpillar  The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.	neutral	[0.9332538  0.01343698 0.00894888 0.02415605 0.01696783 0.0032364 ]
'Who are YOU?'	neutral	[0.85142744 0.04705079 0.05094717 0.00474486 0.01490791 0.03092178]
said the Caterpillar.	neutral	[0.6855256  0.04665654 0.10615064 0.02061939 0.05951893 0.08152895]
This was not an encouraging opening for a conversation.	neutral	[0.8819626  0.06501897 0.01111146 0.01504982 0.00865463 0.01820255]
Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'	neutral	[0.73346615 0.23027302 0.01988396 0.00561514 0.00180937 0.0089523 ]
'What do you mean by that?'	neutral	[0.82897633 0.12986676 0.01671764 0.00492827 0.00281628 0.01669461]
said the Caterpillar sternly.	neutral	[0.685472   0.02104978 0.02501333 0.16290402 0.06154473 0.04401605]
'Explain yourself!'	neutral	[0.54651344 0.03210002 0.12132587 0.03243754 0.11945762 0.14816554]
'I can't explain MYSELF, I'm afraid, sir' said Alice, 'because I'm not myself, you see.'	neutral	[0.8976195  0.0374258  0.0126963  0.00332589 0.00481896 0.04411349]
'I don't see,' said the Caterpillar.	neutral	[0.7684705  0.0286133  0.04724554 0.00607013 0.06586596 0.08373462]
'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'	neutral	[0.6688988  0.17911227 0.03311257 0.06642519 0.01594292 0.03650821]
'It isn't,' said the Caterpillar.	neutral	[0.90066093 0.06265338 0.0147561  0.00208835 0.00264866 0.01719261]
'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis--you will some day, you know--and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'	neutral	[0.81641626 0.14623584 0.01998837 0.00680277 0.00155516 0.00900158]
'Not a bit,' said the Caterpillar.	neutral	[0.7459791  0.0498535  0.08969387 0.01628146 0.05843849 0.03975365]
'Well, perhaps your feelings may be different,' said Alice; 'all I know is, it would feel very queer to ME.'	neutral	[0.82895374 0.03683966 0.01979036 0.08065524 0.02852583 0.00523515]
'You!'	neutral	[0.49839708 0.03430655 0.1689272  0.00419008 0.03640826 0.25777078]
said the Caterpillar contemptuously.	neutral	[0.49524006 0.02002109 0.08767347 0.01100764 0.03252744 0.3535303 ]
'Who are YOU?'	neutral	[0.90831864 0.00779626 0.03282334 0.00118511 0.00627622 0.04360035]
Which brought them back again to the beginning of the conversation.	neutral	"[9.3002409e-01 4.9927190e-02 3.3578072e-03 9.6945437e-03 6.5131823e-04
 6.3450169e-03]"
Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'	angry	[0.41826242 0.02972254 0.06131405 0.01436393 0.02019076 0.4561463 ]
'Why?'	neutral	[0.8672758  0.07347054 0.0360535  0.00163092 0.00385379 0.01771547]
said the Caterpillar.	neutral	[0.8582264  0.01011038 0.05004543 0.00387603 0.03588288 0.04185885]
Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.	neutral	[0.46869916 0.0087633  0.14021082 0.02185807 0.35169655 0.00877206]
'Come back!'	neutral	[0.68103725 0.07885604 0.10900313 0.02216932 0.0458039  0.06313038]
the Caterpillar called after her.	neutral	[0.75457466 0.01154906 0.02040872 0.00149512 0.00393869 0.20803379]
'I've something important to say!'	neutral	[0.8152212  0.00936985 0.0861501  0.00489586 0.05499794 0.029365  ]
This sounded promising, certainly: Alice turned and came back again.	neutral	[0.8856525  0.0226539  0.0440287  0.00491182 0.017831   0.02492214]
'Keep your temper,' said the Caterpillar.	neutral	[0.8579148  0.01543721 0.02003307 0.00239542 0.00839372 0.09582581]
'Is that all?'	neutral	[0.8980095  0.05040206 0.02221735 0.00421825 0.00558972 0.01956319]
said Alice, swallowing down her anger as well as she could.	neutral	[0.55178    0.03561779 0.06632286 0.0611321  0.06256825 0.22257896]
'No,' said the Caterpillar.	neutral	[0.8822816  0.02236018 0.03016276 0.01370715 0.01146362 0.04002471]
Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.	neutral	[0.968561   0.01175333 0.0087908  0.004424   0.00446973 0.00200116]
For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'	neutral	[0.5821234  0.07911434 0.1229858  0.03796608 0.07099391 0.10681646]
'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used--and I don't keep the same size for ten minutes together!'	neutral	[0.57460296 0.17251599 0.19312106 0.00656695 0.03021831 0.02297471]
'Can't remember WHAT things?'	neutral	[0.82337445 0.05736442 0.07702799 0.00977135 0.01886463 0.01359714]
said the Caterpillar.	neutral	[0.76752126 0.02266812 0.09033927 0.00247572 0.02068119 0.09631442]
"'Well, I've tried to say ""HOW DOTH THE LITTLE BUSY BEE,"" but it all came different!'"	neutral	[0.7139885  0.14277825 0.02840419 0.01761628 0.00718037 0.0900324 ]
Alice replied in a very melancholy voice.	neutral	[0.6542595  0.13091251 0.04464233 0.10468742 0.02052612 0.04497213]
"'Repeat, ""YOU ARE OLD, FATHER WILLIAM,""' said the Caterpillar."	neutral	[0.7116029  0.02187975 0.06451397 0.01715505 0.08406308 0.10078517]
Alice folded her hands, and began:--  'You are old, Father William,' the young man said, 'And your hair has become very white; And yet you incessantly stand on your head-- Do you think, at your age, it is right?'	neutral	[0.43463704 0.05236414 0.1321215  0.06024157 0.1086496  0.21198604]
'In my youth,' Father William replied to his son, 'I feared it might injure the brain; But, now that I'm perfectly sure I have none, Why, I do it again and again.'	neutral	[0.88053733 0.0226234  0.01689615 0.05275765 0.01925739 0.00792809]
'You are old,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you turned a back-somersault in at the door-- Pray, what is the reason of that?'	neutral	[0.6307004  0.13293989 0.07099659 0.04083792 0.03052485 0.09400027]
'In my youth,' said the sage, as he shook his grey locks, 'I kept all my limbs very supple By the use of this ointment--one shilling the box-- Allow me to sell you a couple?'	neutral	[0.94089365 0.01623167 0.00692818 0.00245695 0.00170151 0.03178795]
'You are old,' said the youth, 'and your jaws are too weak For anything tougher than suet; Yet you finished the goose, with the bones and the beak-- Pray how did you manage to do it?'	neutral	[0.63958687 0.09426196 0.0671235  0.07378842 0.07190403 0.05333531]
'In my youth,' said his father, 'I took to the law, And argued each case with my wife; And the muscular strength, which it gave to my jaw, Has lasted the rest of my life.'	neutral	"[7.7852392e-01 2.1342288e-01 2.3306054e-03 3.6214874e-03 1.2857839e-04
 1.9725866e-03]"
'You are old,' said the youth, 'one would hardly suppose That your eye was as steady as ever; Yet you balanced an eel on the end of your nose-- What made you so awfully clever?'	neutral	[0.75165004 0.16060182 0.02604433 0.0160089  0.00810956 0.03758537]
'I have answered three questions, and that is enough,' Said his father; 'don't give yourself airs!	neutral	[0.59403807 0.06393194 0.0675334  0.03299447 0.02492821 0.21657385]
Do you think I can listen all day to such stuff?	neutral	[0.763317   0.0311107  0.06970488 0.01706595 0.08739637 0.03140514]
Be off, or I'll kick you down stairs!'	neutral	[0.6853837  0.02538291 0.09031905 0.01731255 0.08245171 0.09915014]
'That is not said right,' said the Caterpillar.	neutral	[0.72447824 0.02512892 0.01653926 0.00140122 0.00177327 0.23067912]
'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'	neutral	[0.8080954  0.01243261 0.05505041 0.00590658 0.10982972 0.00868525]
'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.	neutral	[0.6235443  0.07235565 0.16050288 0.03249098 0.07317938 0.03792685]
The Caterpillar was the first to speak.	neutral	"[9.7388375e-01 1.8844858e-02 1.5945816e-03 4.7736301e-04 3.3774297e-04
 4.8617646e-03]"
'What size do you want to be?'	neutral	[0.9659945  0.02018167 0.0071245  0.00296416 0.0015876  0.00214759]
it asked.	neutral	[0.83853936 0.02726139 0.05786083 0.01457485 0.02886548 0.03289815]
'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'	neutral	[0.7942285  0.17494878 0.0201563  0.00728359 0.00115227 0.00223064]
'I DON'T know,' said the Caterpillar.	neutral	[0.76547545 0.00631435 0.08021591 0.01758087 0.10411318 0.02630026]
Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.	angry	[0.2012933  0.02054279 0.12823719 0.1864119  0.16674517 0.29676968]
'Are you content now?'	neutral	"[8.6113149e-01 1.1816664e-01 8.3003491e-03 8.7385476e-03 7.8012305e-04
 2.8829123e-03]"
said the Caterpillar.	neutral	[0.45758224 0.01944136 0.15852945 0.0048023  0.0640361  0.2956086 ]
'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'	neutral	[0.8522171  0.10893849 0.01323912 0.01204857 0.00365224 0.00990456]
'It is a very good height indeed!'	neutral	[0.4973345  0.4858522  0.01133668 0.00274347 0.00063924 0.00209391]
said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).	neutral	[0.6178059  0.00543369 0.03067966 0.00163347 0.00437132 0.34007603]
'But I'm not used to it!'	neutral	[0.6758637  0.09779852 0.10057262 0.01750938 0.02999443 0.07826138]
pleaded poor Alice in a piteous tone.	angry	[0.45042214 0.00414008 0.00578482 0.04722809 0.00582652 0.48659828]
And she thought of herself, 'I wish the creatures wouldn't be so easily offended!'	happy	[0.251397   0.36749002 0.08560752 0.17615819 0.0599641  0.05938308]
'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.	neutral	[0.6649863  0.13704471 0.07033998 0.01585359 0.01566585 0.09610961]
This time Alice waited patiently until it chose to speak again.	neutral	[0.89940226 0.02511077 0.01531187 0.00355445 0.01109393 0.04552662]
In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.	neutral	[0.5347148  0.02995365 0.06011229 0.00887929 0.01565468 0.35068524]
Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'	neutral	[0.6447832  0.03991657 0.05732812 0.05772101 0.05882148 0.1414296 ]
'One side of WHAT?	neutral	[0.7847247  0.07077494 0.05405404 0.01495361 0.03458948 0.04090323]
The other side of WHAT?'	neutral	"[9.3930608e-01 1.0990893e-02 1.3175645e-02 7.2264149e-05 1.3354903e-03
 3.5119578e-02]"
thought Alice to herself.	neutral	[0.7471422  0.07460257 0.04244533 0.05762653 0.02340516 0.05477815]
'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.	neutral	[0.7295048  0.03029582 0.18422121 0.00123296 0.04102044 0.01372476]
Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.	neutral	[0.8222626  0.03644057 0.1035386  0.00435063 0.01582522 0.01758235]
However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.	neutral	[0.7856271  0.03545042 0.06021418 0.03699506 0.03766192 0.0440513 ]
'And now which is which?'	neutral	"[9.5740443e-01 3.1306207e-02 6.7319358e-03 2.2510570e-03 7.8682275e-04
 1.5195766e-03]"
she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!	scary	[0.21911633 0.04764573 0.22767569 0.08350644 0.2436093  0.1784465 ]
She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.	surprised	[0.24085265 0.03930415 0.37161514 0.02386545 0.2697602  0.05460241]
Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.	sad	[0.243699   0.09305769 0.11773106 0.2693017  0.23193838 0.04427218]
*    *    *    *    *    *    *  *    *    *    *    *    *  *    *    *    *    *    *    *  'Come, my head's free at last!'	happy	[0.3096754  0.62053144 0.02909751 0.02895563 0.00306537 0.0086747 ]
said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.	neutral	[0.6454774  0.01151247 0.07693242 0.06891687 0.19201863 0.00514225]
'What CAN all that green stuff be?'	neutral	[0.7670016  0.06498341 0.04405269 0.00208858 0.00902138 0.1128523 ]
said Alice.	neutral	[0.7039623  0.06457872 0.06999505 0.01601741 0.02659079 0.1188557 ]
'And where HAVE my shoulders got to?	neutral	[0.77869093 0.19242042 0.01352612 0.00842244 0.00084168 0.00609838]
And oh, my poor hands, how is it I can't see you?'	neutral	[0.42437077 0.15469241 0.13520539 0.10946327 0.08930843 0.08695984]
She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.	neutral	[0.93479747 0.00908328 0.02723964 0.01053061 0.01703805 0.0013109 ]
As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.	neutral	[0.6498619  0.07085529 0.11652292 0.02280909 0.12378462 0.01616628]
She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.	neutral	[0.32756504 0.01806993 0.24551609 0.04623003 0.26614857 0.09647036]
'Serpent!'	neutral	[0.57830024 0.04863754 0.11715677 0.02453256 0.11909385 0.11227899]
screamed the Pigeon.	neutral	[0.6613888  0.01764255 0.12283928 0.01435237 0.12633961 0.05743742]
'I'm NOT a serpent!'	neutral	[0.75286967 0.03878992 0.08745573 0.00565572 0.05570023 0.05952874]
said Alice indignantly.	neutral	[0.71175575 0.01700714 0.02987806 0.01046375 0.01547632 0.21541888]
'Let me alone!'	scary	[0.23864017 0.05236121 0.1468248  0.2122308  0.27919963 0.07074334]
'Serpent, I say again!'	neutral	[0.48888427 0.02202281 0.19865277 0.0236201  0.18067528 0.08614473]
repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'	happy	[0.20949633 0.33160993 0.16041955 0.08547107 0.10658729 0.10641584]
'I haven't the least idea what you're talking about,' said Alice.	neutral	[0.8293625  0.04782438 0.0444203  0.00364081 0.01553429 0.05921767]
'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!	neutral	[0.44974425 0.1418806  0.07383307 0.02978191 0.02726359 0.27749658]
There's no pleasing them!'	neutral	[0.62444705 0.14422974 0.06678934 0.04869949 0.02659942 0.08923499]
Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.	neutral	[0.64065397 0.03066361 0.12506802 0.03563387 0.11722624 0.05075429]
'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look-out for serpents night and day!	neutral	[0.4157698  0.08770351 0.25920916 0.00909562 0.03693254 0.19128944]
Why, I haven't had a wink of sleep these three weeks!'	neutral	[0.46965754 0.06075588 0.15886872 0.02894125 0.11305626 0.16872038]
'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.	neutral	[0.60711443 0.0594948  0.13182642 0.02950778 0.08411818 0.08793838]
'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!	scary	[0.09102052 0.02751708 0.1926503  0.13656555 0.38623723 0.16600932]
Ugh, Serpent!'	angry	[0.24614273 0.023417   0.16818246 0.01031339 0.044099   0.5078454 ]
'But I'm NOT a serpent, I tell you!'	neutral	"[8.2304734e-01 1.7837459e-02 7.6859944e-02 8.0561935e-04 1.8305179e-02
 6.3144378e-02]"
said Alice.	neutral	[0.85817945 0.05392266 0.01480681 0.01943755 0.00999484 0.04365875]
'I'm a--I'm a--'  'Well!	neutral	[0.5729775  0.23901749 0.11980184 0.00900469 0.01850744 0.04069112]
WHAT are you?'	neutral	[0.7796136  0.0945389  0.04238541 0.00866491 0.0166269  0.05817023]
said the Pigeon.	neutral	[0.65836793 0.06799616 0.07710098 0.07039152 0.09524538 0.03089801]
'I can see you're trying to invent something!'	neutral	[0.6858941  0.0500735  0.06087096 0.0113927  0.01758042 0.17418827]
'I--I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.	neutral	[0.28215814 0.26726216 0.08479583 0.20655459 0.07214437 0.0870849 ]
'A likely story indeed!'	neutral	[0.5808423  0.39683187 0.01546189 0.00393988 0.00058676 0.00233727]
said the Pigeon in a tone of the deepest contempt.	angry	[0.11922602 0.02853965 0.10381733 0.21218294 0.14206097 0.39417312]
'I've seen a good many little girls in my time, but never ONE with such a neck as that!	neutral	"[6.9860834e-01 2.8796878e-01 5.5537564e-03 6.0911505e-03 3.8836006e-04
 1.3896340e-03]"
No, no!	neutral	[0.5367636  0.0511391  0.20500575 0.02177164 0.07966722 0.10565268]
You're a serpent; and there's no use denying it.	neutral	[0.86231846 0.0285325  0.0259371  0.01341985 0.03667891 0.03311321]
I suppose you'll be telling me next that you never tasted an egg!'	neutral	[0.65989983 0.14417422 0.0954769  0.00674624 0.01321151 0.08049125]
'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'	neutral	"[9.7018188e-01 4.4124229e-03 3.8368176e-04 2.3294890e-03 3.8421343e-04
 2.2308396e-02]"
'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'	neutral	[0.80833143 0.12476192 0.03101485 0.00253732 0.00526011 0.02809438]
This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'	neutral	[0.7411295  0.01028555 0.01136627 0.00131495 0.00204759 0.23385616]
'It matters a good deal to ME,' said Alice hastily; 'but I'm not looking for eggs, as it happens; and if I was, I shouldn't want YOURS: I don't like them raw.'	neutral	[0.7416148  0.07968555 0.03960133 0.05141453 0.02241609 0.06526766]
'Well, be off, then!'	neutral	[0.62603575 0.20822036 0.09252678 0.02348776 0.01233745 0.03739193]
said the Pigeon in a sulky tone, as it settled down again into its nest.	neutral	[0.6963965  0.03591665 0.01677959 0.17577235 0.0348271  0.04030776]
Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.	neutral	[0.5404667  0.0084642  0.28279996 0.0031483  0.16163866 0.00348215]
After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.	neutral	[0.75596064 0.14035086 0.03682652 0.02828201 0.01374409 0.02483583]
It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.	neutral	[0.7416079  0.10932346 0.04440429 0.04167715 0.02290999 0.04007716]
'Come, there's half my plan done now!	neutral	[0.8044789  0.10635994 0.04442919 0.00663688 0.00593459 0.03216052]
How puzzling all these changes are!	surprised	[0.2801465  0.0279362  0.4656155  0.01298812 0.16662392 0.04668977]
I'm never sure what I'm going to be, from one minute to another!	neutral	[0.44623178 0.02152482 0.43521127 0.00166288 0.08166546 0.01370381]
However, I've got back to my right size: the next thing is, to get into that beautiful garden--how IS that to be done, I wonder?'	neutral	"[8.3030993e-01 1.6162279e-01 6.0258056e-03 6.7015487e-04 1.7729077e-04
 1.1939695e-03]"
As she said this, she came suddenly upon an open place, with a little house in it about four feet high.	neutral	[0.5141282  0.17309149 0.06428435 0.106529   0.04393951 0.09802749]
'Whoever lives there,' thought Alice, 'it'll never do to come upon them THIS size: why, I should frighten them out of their wits!'	angry	[0.29832128 0.01054603 0.10544185 0.11244148 0.12345746 0.34979188]
So she began nibbling at the righthand bit again, and did not venture to go near the house till she had brought herself down to nine inches high.	neutral	[0.8146191  0.01329226 0.05971746 0.02209098 0.07445539 0.01582482]
CHAPTER VI.	neutral	[0.9712513  0.02090586 0.00330268 0.0016596  0.00110304 0.00177754]
Pig and Pepper  For a minute or two she stood looking at the house, and wondering what to do next, when suddenly a footman in livery came running out of the wood--(she considered him to be a footman because he was in livery: otherwise, judging by his face only, she would have called him a fish)--and rapped loudly at the door with his knuckles.	neutral	[0.71347475 0.00136119 0.0682562  0.00565583 0.20690434 0.00434774]
It was opened by another footman in livery, with a round face, and large eyes like a frog; and both footmen, Alice noticed, had powdered hair that curled all over their heads.	neutral	[0.89104503 0.01918062 0.01721027 0.02015296 0.02656443 0.02584677]
She felt very curious to know what it was all about, and crept a little way out of the wood to listen.	neutral	[0.68984866 0.01711977 0.0706923  0.04815182 0.14178164 0.03240578]
The Fish-Footman began by producing from under his arm a great letter, nearly as large as himself, and this he handed over to the other, saying, in a solemn tone, 'For the Duchess.	neutral	[0.8026836  0.12817864 0.03503019 0.00935242 0.00727838 0.0174768 ]
An invitation from the Queen to play croquet.'	neutral	"[9.6440524e-01 2.5760366e-02 4.4640400e-03 1.1159243e-03 6.5538904e-04
 3.5990598e-03]"
The Frog-Footman repeated, in the same solemn tone, only changing the order of the words a little, 'From the Queen.	neutral	"[8.0687535e-01 1.8864749e-01 4.1389423e-03 1.8141384e-04 2.5786358e-05
 1.3104150e-04]"
An invitation for the Duchess to play croquet.'	neutral	"[5.9951168e-01 3.7680516e-01 1.6453801e-02 5.5959346e-03 3.6858782e-04
 1.2648676e-03]"
Then they both bowed low, and their curls got entangled together.	neutral	[0.6820154  0.2388218  0.01142824 0.05481632 0.0033868  0.00953147]
