title	genre	scene	script	msd_tag	jamendo_tag	link
Django Unchained	['Drama', 'Western']	Django shoots up and kills all of Candie\'s men after King Schultz is shot.	Ain't no nigger gonna- Aah! God! Ah my God, aah! Motherfucker!	Hip-Hop, electronic, rock	instrument---strings, instrument---piano, genre---pop	https://youtu.be/t5uAX0pyD_I
Adore	['Drama', 'Romance']	Roz watches Ian dance with a girl at the wedding.	And to ask God's blessing on them as we share their joy. Marriage is a gift of God, our creator. It is a symbol of God's unending love for his people... and of the union between Christ and His church. Christ loved his bride, the church. And gave Himself for her. As He has called Tom and Mary to marriage... So He draws their different gifts and hopes. Into the unity of love and service. Relax, it'll be your turn next. Yeah? Many good things about being married. You're the one to blame for this, aren't you? I thought you were supposed to praise the fairy godmother. Not blame them. Yeah, don't wave your fucking wand over me.	80s, pop, electronic	instrument---strings, genre---popfolk, instrument---piano	https://youtu.be/u2TLAxTY9Xs
31	['Horror', 'Thriller']	The group are hanging out at the gas station.	You've had enough friends for a lifetime. Nice puppets, Leo. You play with that stuff? I bet you do. The good Lord pray me for every day He want me to leave a righteous way So I don't care what the white man say Santa Claus is a black man You know, I'm thinking man, when we get ourself a break... we need to check out the sound system in the carousel. Man, them speakers, man, they shot up to shit. Seriously though, it looks like I'm losing my shit. I don't normally have this much forehead. Too young for that. Hey, man, look, it gonna do what it gonna do. Yeah, but that's easy for you to say. Shit take a goddamn nuclear blast to damage that foxy do of yours.	country, blues, oldies	genre---chillout, instrument---drummachine, genre---world	https://youtu.be/nWmbFXJDHrM
Trainwreck	['Comedy', 'Drama', 'Romance']	Amy and donald	Hey, Amar'e. Mr. Stoudemire, where are you going? I gotta get outta here. I gotta get outta here. Okay. Amar'e. Watch your head. Wa... Oh! Oh, shit. See if I can help. Hey. Hey. How'd it go? Have you just been watching TV and smoking pot all day? No. I got up and had some cereal. At some point. They, uh, canceled my surgery today. Amar'e didn't feel comfortable with me performing it because I was too tired. So he... fled. He was on a lot of anesthesia. He fell. And when I tried to help him, he called me a witch. Is he okay? You know, and it was because of all this shit last night. Which was... It was crazy.	rock, 80s, pop	instrument---piano, genre---popfolk, genre---downtempo	https://youtu.be/UJUEV46n6yY
That Awkward Moment	['Comedy', 'Romance']	Song at the bar when Ellie calls Jason, they all deny having girlfriends. 	So you'll think you're going 150, but actually you're going 25 at best, 15 at worst. You can't see, so the acid you think you're eating will actually be an errant Lipitor. You're going to forget what you were doing in the car in the first place, bump into the divider, wet yourself, ruin the car, lose your license, and your dignity in one fell swoop. And then you're gonna be ushered off into some rest home, where you have to wake up in the mornings, and figure out what the hell to do in between meals. You know, you don't have to be right about everything all the time? How's Ellie? What do you mean? What do you mean what do I mean? Nothing. What are you talking about? What are you talking about? So? What's up? Nothing. Where's Chelsea? What do you mean? I mean, where is Chelsea is what I mean. I gotta talk to you about Chelsea.	electronic, indie, electronica	instrument---strings, genre---pop, genre---ambient	https://youtu.be/v8TfRjHENuU
A Walk to Remember	['Drama', 'Romance']	Landon turns off Jamies music on her car radio and this song comes on.	Bye. -So would it kill you to try? -Yep, and I'm too young to die. You don't care about classes, but you like school... ...because you're popular and you'll never be on top again. -That's thoroughly predictable. -Your act only works on an audience.	rock, indie, alternative	instrument---piano, genre---popfolk, genre---easylistening	https://youtu.be/Bzx0JnYtJ0Y
Bachelorette	['Comedy', 'Romance']	Song playing as the men head to a stripclub in a limo. 	if you strike out with the pros, you know you can always call me, right? Right. Well... I deleted your number. Right. That's impressive. In the middle of all this chaos, you had time for a crotch rub? Paid off, though! Ba-bam! [ELEVATOR BELL] Oh, my god! You guys? I know I'm on drugs, but I swear, that room you just pushed me into? It was moving. we don't need not wookie tokie (Trevor) Objectifying? We're paying their rent! I feel like I'm travelling backwards. Can I take the blindfold off? Joe's never... (Trevor) you've never been to a strip club, have you? Have I been to a strip club? (Trevor) Yes. (Clyde) You have. Joe's never been to a strip club. (Joe) I have been. Hence why I know that for a fact, once you get in there. You never know what exactly to do. It's weird getting a lap dance in front of other people.	rock, alternative, Hip-Hop	instrument---piano, genre---popfolk, instrument---strings	https://youtu.be/lrsj653088E
Vampires Suck	['Comedy']	After they kiss, Becca comes onto Edward and asks to go all the way. Edward knocks her off of him with the lamp.	There is something that I wanted to try. Me, too. I love role-playing. That's not what I meant. Don't move. Kiss me already. I know it'll be okay.	rock, punk, alternative	instrument---piano, genre---world, genre---classical	https://youtu.be/nRrXFLDUGXs
Honey 2	['Comedy', 'Drama', 'Music']	Maria and Brandon dance alone in the studio.	(AUDIENCE CHEERING) MARIO! Join US fl6Xf week, because you don? want to miss the semifinals on Dance Battle Zone. (ALL WHOOPING) There was this girl when I was in juvie, Julissa, and every time we would battle, she'd always come up with something new, What was she in for? She tried to kill her stepdad. Whoa. why? She didn't say, but we all knew. Was it scary in there? Not in a way you could really imagine or I could really describe to you. It's like feeling alone with hundreds of people around you. What did they charge you with? Breaking and entering. Luis thought he knew his way in and out of a pawn shop. What he didn't know was sometimes the owner liked to stay late. Luis heard 3 noise, Fan OUT and left me to deal with a man with the biggest gun I'd ever seen, pointed right in my face.	rnb, soul, pop	instrument---guitar, genre---poprock, genre---popfolk	https://youtu.be/3RVBshR1s1U
The Rover	['Action', 'Crime', 'Drama', 'Sci-Fi']	Rey wakes up after being shot and steals a military truck. Eric wakes up from being hit and gets in the robber's truck.	<i>Area one, all clear. Over.</i>	ambient, instrumental, experimental	genre---atmospheric, genre---ambient, instrument---strings	https://youtu.be/58BSIQuAYTU
YPF	['Comedy', 'Drama', 'Romance']	The exes. Mia and Eric are having sex and end up kissing.	Wait, you knew? Now, I'm really out of here. This should never have happened. I didn't know you knew that. Where are my fucking pants? I thought we could just do this but it's getting... Put those fucking pants down. A fuck is just a fuck. Did not you say that? Did you or did you? Are you seriously asking this? We are bith horny. Let's do this. Then we can be best friends again. Right now, you are just a piece of meat. A hot pussy with feet. And to you I should just be a big cock with a face. And together we can do this thing. Just come back to bed. It shouldn't be this hard. But it is. But no, not if we just see meat... No, I mean it is hard.	rock, indie, alternative	genre---trance, instrument---piano, genre---ambient	https://youtu.be/vuC5osOM7nE
